dataset,n_records,pct_with_abstract,n_positives,prevalence_pct
Walker_2018,48375,96.8,762,1.58
Brouwer_2019,38114,98.9,62,0.16
van_Dis_2020,9128,98.2,72,0.79
Hall_2012,8793,100.0,104,1.18
Wassenaar_2017,7668,94.4,111,1.45
Leenaars_2020,7216,94.8,583,8.08
Radjenovic_2013,5935,100.0,48,0.81
Leenaars_2019,5812,99.2,17,0.29
Moran_2021,5214,99.2,111,2.13
Bos_2018,4878,98.7,10,0.21
van_de_Schoot_2018,4544,98.4,38,0.84
Wolters_2018,4280,91.1,19,0.44
Appenzeller-Herzog_2019,2873,76.5,26,0.9
Muthu_2021,2719,99.1,336,12.36
Smid_2020,2627,95.8,27,1.03
van_der_Waal_2022,1970,99.3,33,1.68
Chou_2003,1908,94.2,15,0.79
Chou_2004,1630,88.4,9,0.55
Jeyaraman_2020,1175,99.8,96,8.17
Menon_2022,975,99.5,74,7.59
Oud_2018,952,98.4,20,2.1
Meijboom_2021,882,93.5,37,4.2
van_der_Valk_2021,725,98.6,89,12.28
Nelson_2002,366,97.8,80,21.86
Sep_2021,271,99.6,40,14.76
Donners_2021,258,96.9,15,5.81
