dataset,recall_target,pct_screened
Brouwer_2019,0.9,1.3512095293068165
Brouwer_2019,0.95,2.0255024400482764
Brouwer_2019,0.99,3.1169648947893163
Brouwer_2019,0.995,3.1169648947893163
van_de_Schoot_2018,0.9,3.3450704225352115
van_de_Schoot_2018,0.95,5.479753521126761
van_de_Schoot_2018,0.99,8.890845070422536
van_de_Schoot_2018,0.995,8.890845070422536
Hall_2012,0.9,2.2517911975435005
Hall_2012,0.95,2.7180711929944272
Hall_2012,0.99,4.35573751848061
Hall_2012,0.995,36.57454793585807
Moran_2021,0.9,72.63137706175681
Moran_2021,0.95,81.1277330264672
Moran_2021,0.99,85.67318757192174
Moran_2021,0.995,90.60222477943996
Sep_2021,0.9,53.13653136531365
Sep_2021,0.95,74.90774907749078
Sep_2021,0.99,92.25092250922509
Sep_2021,0.995,92.25092250922509
Nelson_2002,0.9,43.71584699453552
Nelson_2002,0.95,62.021857923497265
Nelson_2002,0.99,76.22950819672131
Nelson_2002,0.995,76.22950819672131
