dataset,n_positives,pos_cohesion,background,pos_to_neg,separation,cohesion_ratio,prevalence_pct,wss_at_95,n_records
Moran_2021,111,0.0302,0.0238,0.0264,0.0038,1.27,2.13,13.3,5214
Sep_2021,40,0.0786,0.0603,0.063,0.0156,1.3,14.76,18.1,271
Walker_2018,762,0.0312,0.0144,0.0146,0.0166,2.16,1.58,71.7,48375
Chou_2004,9,0.0474,0.0265,0.0284,0.019,1.79,0.55,32.6,1630
Menon_2022,74,0.0701,0.0467,0.0456,0.0245,1.5,7.59,62.0,975
Muthu_2021,336,0.0789,0.0466,0.0514,0.0276,1.69,12.36,36.0,2719
van_der_Valk_2021,89,0.0815,0.0437,0.0507,0.0307,1.87,12.28,39.0,725
Nelson_2002,80,0.1135,0.07,0.0772,0.0363,1.62,21.86,36.3,366
Leenaars_2020,583,0.0843,0.0377,0.0467,0.0376,2.23,8.08,66.8,7216
Wassenaar_2017,111,0.0649,0.0264,0.0233,0.0417,2.46,1.45,79.5,7668
van_Dis_2020,72,0.0882,0.0324,0.0459,0.0424,2.72,0.79,73.0,9128
Jeyaraman_2020,96,0.1303,0.0631,0.0777,0.0526,2.07,8.17,58.4,1175
Donners_2021,15,0.123,0.0687,0.0683,0.0547,1.79,5.81,62.1,258
van_der_Waal_2022,33,0.1066,0.0437,0.0505,0.0561,2.44,1.68,69.8,1970
Meijboom_2021,37,0.12,0.0524,0.0608,0.0592,2.29,4.2,62.3,882
Smid_2020,27,0.1044,0.0292,0.0419,0.0625,3.58,1.03,84.8,2627
Oud_2018,20,0.1338,0.0491,0.069,0.0647,2.73,2.1,82.4,952
Appenzeller-Herzog_2019,26,0.1093,0.0336,0.0442,0.0651,3.25,0.9,78.5,2873
Chou_2003,15,0.1222,0.0428,0.0548,0.0674,2.85,0.79,23.4,1908
Brouwer_2019,62,0.1077,0.0286,0.038,0.0697,3.77,0.16,92.8,38114
Radjenovic_2013,48,0.1059,0.0297,0.0352,0.0707,3.57,0.81,86.7,5935
van_de_Schoot_2018,38,0.1213,0.0363,0.0468,0.0744,3.34,0.84,88.9,4544
Wolters_2018,19,0.1239,0.0278,0.0471,0.0768,4.45,0.44,76.8,4280
Hall_2012,104,0.1056,0.0265,0.027,0.0786,3.98,1.18,92.0,8793
Bos_2018,10,0.1651,0.0422,0.0513,0.1139,3.91,0.21,85.2,4878
Leenaars_2019,17,0.1938,0.037,0.0342,0.1596,5.24,0.29,93.0,5812
