dataset,prevalence_pct,n_positives,coldstart_pct
Chou_2004,0.55,9,10.01
Bos_2018,0.21,10,9.09
Donners_2021,5.81,15,6.27
Chou_2003,0.79,15,6.25
Leenaars_2019,0.29,17,5.56
Wolters_2018,0.44,19,5.0
Oud_2018,2.1,20,4.77
Appenzeller-Herzog_2019,0.9,26,3.7
Smid_2020,1.03,27,3.57
van_der_Waal_2022,1.68,33,2.94
Meijboom_2021,4.2,37,2.63
van_de_Schoot_2018,0.84,38,2.56
Sep_2021,14.76,40,2.45
Radjenovic_2013,0.81,48,2.04
Brouwer_2019,0.16,62,1.59
van_Dis_2020,0.79,72,1.37
Menon_2022,7.59,74,1.33
Nelson_2002,21.86,80,1.24
van_der_Valk_2021,12.28,89,1.11
Jeyaraman_2020,8.17,96,1.03
Hall_2012,1.18,104,0.95
Moran_2021,2.13,111,0.89
Wassenaar_2017,1.45,111,0.89
Muthu_2021,12.36,336,0.3
Leenaars_2020,8.08,583,0.17
Walker_2018,1.58,762,0.13
