dataset,seed,feature,wss_at_95,group
Moran_2021,0,tfidf,13.9,low_cohesion
Moran_2021,0,embedding,4.3,low_cohesion
Moran_2021,1,tfidf,13.4,low_cohesion
Moran_2021,1,embedding,4.4,low_cohesion
Moran_2021,2,tfidf,13.9,low_cohesion
Moran_2021,2,embedding,5.5,low_cohesion
Sep_2021,0,tfidf,20.1,low_cohesion
Sep_2021,0,embedding,16.4,low_cohesion
Sep_2021,1,tfidf,15.3,low_cohesion
Sep_2021,1,embedding,16.4,low_cohesion
Sep_2021,2,tfidf,19.0,low_cohesion
Sep_2021,2,embedding,14.2,low_cohesion
Menon_2022,0,tfidf,61.7,low_cohesion
Menon_2022,0,embedding,66.6,low_cohesion
Menon_2022,1,tfidf,61.7,low_cohesion
Menon_2022,1,embedding,67.3,low_cohesion
Menon_2022,2,tfidf,62.7,low_cohesion
Menon_2022,2,embedding,68.3,low_cohesion
Nelson_2002,0,tfidf,33.0,low_cohesion
Nelson_2002,0,embedding,37.1,low_cohesion
Nelson_2002,1,tfidf,45.5,low_cohesion
Nelson_2002,1,embedding,35.2,low_cohesion
Nelson_2002,2,tfidf,30.5,low_cohesion
Nelson_2002,2,embedding,34.6,low_cohesion
Wolters_2018,0,tfidf,81.4,high_cohesion
Wolters_2018,0,embedding,82.1,high_cohesion
Wolters_2018,1,tfidf,74.8,high_cohesion
Wolters_2018,1,embedding,81.9,high_cohesion
Wolters_2018,2,tfidf,74.8,high_cohesion
Wolters_2018,2,embedding,82.0,high_cohesion
Leenaars_2019,0,tfidf,93.5,high_cohesion
Leenaars_2019,0,embedding,91.9,high_cohesion
Leenaars_2019,1,tfidf,93.5,high_cohesion
Leenaars_2019,1,embedding,91.9,high_cohesion
Leenaars_2019,2,tfidf,93.5,high_cohesion
Leenaars_2019,2,embedding,91.9,high_cohesion
Hall_2012,0,tfidf,92.3,high_cohesion
Hall_2012,0,embedding,92.5,high_cohesion
Hall_2012,1,tfidf,92.3,high_cohesion
Hall_2012,1,embedding,92.5,high_cohesion
Hall_2012,2,tfidf,92.2,high_cohesion
Hall_2012,2,embedding,92.5,high_cohesion
Bos_2018,0,tfidf,85.4,high_cohesion
Bos_2018,0,embedding,89.8,high_cohesion
Bos_2018,1,tfidf,85.2,high_cohesion
Bos_2018,1,embedding,85.0,high_cohesion
Bos_2018,2,tfidf,85.3,high_cohesion
Bos_2018,2,embedding,89.6,high_cohesion
