dataset,seed,feature,wss
Moran_2021,0,tfidf,13.9
Moran_2021,0,embedding,4.1
Moran_2021,1,tfidf,13.5
Moran_2021,1,embedding,4.1
Moran_2021,2,tfidf,13.9
Moran_2021,2,embedding,5.0
Moran_2021,3,tfidf,14.3
Moran_2021,3,embedding,5.2
Moran_2021,4,tfidf,14.1
Moran_2021,4,embedding,5.0
Moran_2021,5,tfidf,13.5
Moran_2021,5,embedding,4.9
Moran_2021,6,tfidf,13.5
Moran_2021,6,embedding,6.6
Moran_2021,7,tfidf,13.3
Moran_2021,7,embedding,5.0
Moran_2021,8,tfidf,13.1
Moran_2021,8,embedding,5.2
Moran_2021,9,tfidf,13.9
Moran_2021,9,embedding,5.2
Sep_2021,0,tfidf,20.1
Sep_2021,0,embedding,16.4
Sep_2021,1,tfidf,15.3
Sep_2021,1,embedding,16.4
Sep_2021,2,tfidf,19.0
Sep_2021,2,embedding,14.2
Sep_2021,3,tfidf,23.8
Sep_2021,3,embedding,14.9
Sep_2021,4,tfidf,23.4
Sep_2021,4,embedding,15.3
Sep_2021,5,tfidf,35.2
Sep_2021,5,embedding,16.8
Sep_2021,6,tfidf,38.2
Sep_2021,6,embedding,14.9
Sep_2021,7,tfidf,22.7
Sep_2021,7,embedding,14.9
Sep_2021,8,tfidf,21.9
Sep_2021,8,embedding,16.0
Sep_2021,9,tfidf,21.9
Sep_2021,9,embedding,25.3
