strategy,seed,effort_at_95,wss_at_95
relevance,0,5.479753521126761,89.52024647887323
random,0,93.50792253521126,1.4920774647887356
relevance,1,5.501760563380282,89.49823943661971
random,1,94.25616197183099,0.7438380281690087
relevance,2,5.677816901408451,89.32218309859155
random,2,97.22711267605634,-2.2271126760563362
relevance,3,5.545774647887324,89.45422535211267
random,3,95.18045774647888,-0.18045774647887924
relevance,4,4.555457746478873,90.44454225352112
random,4,89.23855633802818,5.761443661971825
relevance,5,5.875880281690141,89.12411971830986
random,5,87.6100352112676,7.389964788732399
relevance,6,5.391725352112676,89.60827464788733
random,6,97.71126760563381,-2.7112676056338074
relevance,7,5.369718309859155,89.63028169014085
random,7,97.77728873239437,-2.777288732394368
relevance,8,4.357394366197183,90.64260563380282
random,8,86.17957746478874,8.820422535211264
relevance,9,5.457746478873239,89.54225352112677
random,9,98.78961267605634,-3.7896126760563362
