dataset,n_records,n_positives,prevalence_pct,batch_size,effort_at_95,effort_sd,wss_at_95,random_effort,coldstart_pct,seconds
Brouwer_2019,38114,62,0.16,100,2.2,0.2,92.8,93.8,1.59,18.2
Bos_2018,4878,10,0.21,10,9.8,0.0,85.2,88.8,9.09,3.6
Leenaars_2019,5812,17,0.29,25,2.0,0.2,93.0,97.1,5.56,2.9
Wolters_2018,4280,19,0.44,10,18.2,3.1,76.8,95.0,5.0,4.2
Chou_2004,1630,9,0.55,10,62.4,6.4,32.6,87.1,10.01,1.7
Chou_2003,1908,15,0.79,10,71.6,1.4,23.4,91.9,6.25,2.8
van_Dis_2020,9128,72,0.79,25,22.0,1.7,73.0,96.1,1.37,12.8
Radjenovic_2013,5935,48,0.81,25,8.3,0.2,86.7,94.0,2.04,2.8
van_de_Schoot_2018,4544,38,0.84,10,6.1,0.4,88.9,93.2,2.56,2.9
Appenzeller-Herzog_2019,2873,26,0.9,10,16.5,0.4,78.5,94.6,3.7,4.7
Smid_2020,2627,27,1.03,10,10.2,0.5,84.8,93.5,3.57,1.4
Hall_2012,8793,104,1.18,25,3.0,0.0,92.0,91.8,0.95,3.1
Wassenaar_2017,7668,111,1.45,25,15.5,0.3,79.5,97.1,0.89,5.9
Walker_2018,48375,762,1.58,100,23.3,0.1,71.7,94.7,0.13,129.1
van_der_Waal_2022,1970,33,1.68,10,25.2,0.2,69.8,87.6,2.94,2.4
Oud_2018,952,20,2.1,1,12.6,0.6,82.4,84.5,4.77,2.4
Moran_2021,5214,111,2.13,25,81.7,0.4,13.3,94.2,0.89,14.4
Meijboom_2021,882,37,4.2,1,32.7,9.1,62.3,96.3,2.63,3.5
Donners_2021,258,15,5.81,1,32.9,4.1,62.1,90.4,6.27,0.5
Menon_2022,975,74,7.59,1,33.0,0.5,62.0,96.0,1.33,9.4
Leenaars_2020,7216,583,8.08,25,28.2,0.0,66.8,95.3,0.17,12.5
Jeyaraman_2020,1175,96,8.17,10,36.6,0.0,58.4,95.3,1.03,1.5
van_der_Valk_2021,725,89,12.28,1,56.0,0.2,39.0,93.7,1.11,4.7
Muthu_2021,2719,336,12.36,10,59.0,0.2,36.0,95.1,0.3,4.8
Sep_2021,271,40,14.76,1,76.9,2.1,18.1,94.2,2.45,1.4
Nelson_2002,366,80,21.86,1,58.7,6.6,36.3,95.0,1.24,1.7
